iter	Passed	Remaining
0	135	135214
1	136	67873
2	136	45414
3	137	34180
4	137	27447
5	138	22955
6	139	19743
7	139	17335
8	140	15462
9	141	13963
10	141	12735
11	142	11711
12	142	10845
13	143	10104
14	144	9461
15	144	8899
16	145	8402
17	145	7962
18	146	7569
19	147	7214
20	147	6894
21	148	6601
22	149	6334
23	149	6089
24	150	5864
25	150	5655
26	151	5463
27	152	5283
28	152	5115
29	153	4960
30	154	4814
31	154	4677
32	155	4549
33	155	4428
34	156	4314
35	157	4207
36	157	4105
37	158	4008
38	158	3916
39	159	3831
40	160	3753
41	161	3680
42	162	3608
43	162	3540
44	163	3475
45	164	3414
46	165	3352
47	166	3293
48	166	3236
49	167	3181
50	168	3128
51	168	3076
52	169	3027
53	170	2981
54	170	2936
55	171	2896
56	172	2859
57	173	2819
58	174	2780
59	175	2742
60	175	2706
61	176	2669
62	177	2633
63	177	2598
64	178	2564
65	178	2532
66	179	2500
67	179	2465
68	180	2435
69	181	2406
70	181	2377
71	182	2349
72	182	2322
73	183	2296
74	184	2270
75	184	2245
76	185	2221
77	185	2197
78	186	2175
79	187	2153
80	187	2131
81	188	2110
82	189	2089
83	189	2069
84	190	2047
85	190	2027
86	191	2006
87	191	1988
88	192	1969
89	193	1952
90	193	1934
91	194	1917
92	194	1900
93	195	1884
94	196	1868
95	196	1852
96	197	1837
97	197	1821
98	198	1806
99	199	1792
100	200	1780
101	200	1764
102	201	1750
103	201	1737
104	202	1724
105	202	1711
106	203	1698
107	204	1685
108	204	1673
109	205	1661
110	205	1649
111	206	1637
112	207	1625
113	207	1614
114	208	1603
115	208	1591
116	209	1580
117	210	1569
118	210	1558
119	211	1548
120	211	1538
121	212	1528
122	212	1516
123	213	1507
124	213	1497
125	214	1488
126	215	1479
127	215	1468
128	216	1459
129	216	1450
130	217	1442
131	218	1434
132	218	1426
133	219	1417
134	220	1409
135	220	1401
136	221	1393
137	221	1385
138	222	1377
139	223	1370
140	223	1362
141	224	1355
142	224	1347
143	225	1340
144	226	1334
145	227	1328
146	228	1323
147	228	1316
148	229	1310
149	230	1303
150	230	1296
151	231	1290
152	231	1283
153	232	1277
154	233	1270
155	233	1264
156	234	1258
157	234	1252
158	235	1245
159	236	1239
160	236	1233
161	237	1227
162	237	1222
163	238	1216
164	239	1211
165	240	1205
166	240	1200
167	241	1195
168	241	1189
169	242	1184
170	243	1179
171	243	1174
172	244	1168
173	245	1163
174	245	1158
175	246	1153
176	247	1148
177	247	1143
178	248	1138
179	248	1133
180	249	1127
181	249	1122
182	250	1118
183	251	1113
184	251	1108
