iter	Passed	Remaining
0	135	135084
1	135	67828
2	136	45393
3	137	34167
4	137	27441
5	138	22950
6	139	19755
7	140	17375
8	140	15509
9	141	14007
10	142	12779
11	142	11755
12	143	10888
13	144	10143
14	144	9504
15	145	8948
16	146	8472
17	147	8032
18	147	7636
19	148	7277
20	149	6953
21	149	6657
22	150	6389
23	151	6142
24	152	5929
25	152	5726
26	153	5532
27	154	5351
28	154	5181
29	155	5024
30	156	4877
31	156	4739
32	157	4611
33	158	4494
34	159	4385
35	159	4283
36	160	4184
37	161	4087
38	162	3994
39	162	3905
40	163	3820
41	164	3744
42	164	3671
43	165	3600
44	166	3530
45	166	3463
46	167	3399
47	168	3338
48	168	3278
49	169	3221
50	170	3169
51	171	3119
52	171	3069
53	172	3020
54	173	2973
55	173	2930
56	174	2889
57	175	2849
58	176	2816
59	177	2781
60	178	2744
61	179	2708
62	179	2673
63	180	2641
64	181	2608
65	182	2576
66	182	2547
67	183	2521
68	184	2491
69	185	2463
70	186	2434
71	186	2405
72	187	2379
73	188	2356
74	189	2333
75	189	2309
76	190	2284
77	191	2260
78	191	2236
79	192	2213
80	193	2190
81	193	2168
82	194	2144
83	194	2125
84	195	2107
85	196	2087
86	197	2068
87	197	2048
88	198	2029
89	198	2011
90	199	1993
91	200	1975
92	200	1959
93	201	1945
94	202	1929
95	203	1913
96	203	1897
97	204	1881
98	204	1865
99	205	1850
100	206	1835
101	206	1821
102	207	1809
103	208	1796
104	209	1782
105	209	1769
106	210	1755
107	210	1742
108	211	1729
109	212	1717
110	212	1705
111	213	1694
112	214	1684
113	215	1673
114	215	1661
115	216	1650
116	217	1638
117	217	1627
118	218	1616
119	218	1605
120	219	1596
121	220	1587
122	221	1577
123	221	1567
124	222	1557
125	223	1547
126	223	1537
127	224	1527
128	225	1519
129	225	1511
130	226	1503
131	227	1494
132	227	1485
133	228	1477
134	229	1469
135	229	1460
136	230	1452
137	231	1445
138	232	1437
139	232	1431
140	233	1423
141	234	1414
142	234	1406
143	235	1399
144	235	1391
145	236	1384
146	237	1377
147	238	1372
148	239	1366
149	239	1359
150	240	1353
151	241	1346
152	241	1339
153	242	1333
154	243	1326
155	244	1321
156	245	1315
157	245	1309
158	246	1302
159	246	1296
160	247	1288
161	247	1282
162	248	1276
163	249	1270
164	249	1265
165	250	1260
166	251	1254
167	252	1249
168	252	1243
169	253	1237
170	254	1231
171	254	1226
172	255	1220
173	256	1215
174	256	1211
175	257	1206
176	258	1201
177	258	1195
178	259	1190
179	260	1185
180	260	1180
181	261	1175
182	262	1170
183	263	1166
184	263	1162
185	264	1158
186	265	1153
187	265	1148
188	266	1144
189	267	1140
190	268	1136
191	269	1132
192	269	1128
193	270	1123
194	271	1119
195	271	1114
196	272	1110
197	272	1105
198	273	1101
199	274	1097
200	275	1093
201	275	1089
202	276	1085
203	277	1081
204	277	1077
205	278	1073
206	279	1069
207	279	1065
208	280	1062
209	281	1059
210	282	1055
211	282	1051
212	283	1047
213	284	1043
214	284	1039
215	285	1036
216	286	1032
217	286	1028
218	287	1025
219	288	1022
220	289	1018
221	289	1015
222	290	1011
223	290	1007
224	291	1004
225	292	1000
226	292	997
227	293	994
228	294	991
229	295	987
230	295	984
231	296	981
232	297	978
233	297	975
234	298	972
235	299	969
236	300	967
237	301	965
238	302	962
239	302	958
240	303	955
241	304	952
242	304	949
243	305	946
244	306	943
245	306	940
246	307	937
247	308	934
248	308	931
249	309	928
250	310	925
251	310	922
252	311	919
253	312	917
254	313	914
255	313	911
256	314	908
257	314	905
258	315	902
259	316	899
260	316	896
261	317	894
262	318	892
263	319	889
264	319	887
265	320	884
266	321	881
267	321	878
268	322	875
269	322	872
270	323	870
271	324	868
272	325	866
273	325	863
274	326	860
275	327	858
276	327	855
277	328	852
278	329	850
279	329	848
280	330	845
281	331	843
282	332	841
283	332	838
284	333	836
285	334	834
286	334	831
287	335	829
288	336	827
289	337	825
290	337	823
291	338	820
292	339	818
293	339	815
294	340	813
295	340	810
296	341	808
297	342	806
298	343	804
299	343	802
300	344	799
301	345	797
302	345	795
303	346	793
304	347	790
305	347	788
306	348	786
307	349	784
308	349	782
309	350	780
310	351	778
311	352	776
312	352	773
313	353	771
314	353	769
315	354	767
316	355	766
317	356	764
318	357	762
319	357	760
320	358	758
321	359	756
322	359	754
323	360	752
324	361	750
325	362	748
326	362	746
327	363	744
328	364	742
329	364	740
330	365	738
331	366	736
332	366	734
333	367	733
334	368	731
335	369	729
336	369	727
337	370	725
338	370	723
339	371	721
340	372	719
341	372	717
342	373	716
343	374	714
344	375	712
345	375	710
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	699
352	380	697
353	381	695
354	381	693
355	382	691
356	383	689
357	383	688
358	384	686
359	384	684
360	385	682
361	386	681
362	387	679
363	387	677
364	388	675
365	389	673
366	389	672
367	390	670
368	391	668
369	391	667
370	392	665
371	393	664
372	394	662
373	394	660
374	395	658
375	395	656
376	396	655
377	397	653
378	397	651
379	398	650
380	399	648
381	399	647
382	400	645
383	401	643
384	401	641
385	402	640
386	403	638
387	403	637
388	404	635
389	405	634
390	406	632
391	406	630
392	407	629
393	408	627
394	408	625
395	409	624
396	409	622
397	410	621
398	411	620
399	412	618
400	412	616
401	413	615
402	414	613
403	414	611
404	415	610
405	416	608
406	417	607
407	417	606
408	418	604
409	418	602
410	419	601
411	420	599
412	420	598
413	421	596
414	422	595
415	423	594
416	424	593
417	425	591
418	425	590
419	426	588
420	426	587
421	427	585
422	428	584
423	429	582
424	429	581
425	430	580
426	431	578
427	431	576
428	432	575
429	432	573
430	433	572
431	434	571
432	435	569
433	436	568
434	436	567
435	437	565
436	437	564
437	438	562
438	439	561
439	439	559
440	440	558
441	441	557
442	442	555
443	442	554
444	443	553
445	444	551
446	444	550
447	445	548
448	445	547
449	446	545
450	447	544
451	448	543
452	448	542
453	449	540
454	450	539
455	450	537
456	451	536
457	451	534
458	452	533
459	453	532
460	454	530
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	458	522
467	458	521
468	459	520
469	460	518
470	460	517
471	461	516
472	462	515
473	462	513
474	463	512
475	464	510
476	464	509
477	465	508
478	466	507
479	466	505
480	467	504
481	468	503
482	469	502
483	469	500
484	470	499
485	470	498
486	471	496
487	472	495
488	473	494
489	473	493
490	474	491
491	475	490
492	475	489
493	476	487
494	476	486
495	477	485
496	478	484
497	479	483
498	479	481
499	480	480
500	481	479
501	481	477
502	482	476
503	482	475
504	483	474
505	484	473
506	485	471
507	485	470
508	486	469
509	487	468
510	487	466
511	488	465
512	489	464
513	489	463
514	490	462
515	491	461
516	492	459
517	492	458
518	493	457
519	494	456
520	494	455
521	495	453
522	496	452
523	497	451
524	498	450
525	498	449
526	499	448
527	500	447
528	500	445
529	501	444
530	502	443
531	503	442
532	504	441
533	504	440
534	505	439
535	505	437
536	506	436
537	507	435
538	507	434
539	508	433
540	509	432
541	510	430
542	510	429
543	511	428
544	511	427
545	512	426
546	513	424
547	513	423
548	514	422
549	515	421
550	516	420
551	517	419
552	518	418
553	518	417
554	519	416
555	520	415
556	521	414
557	522	413
558	523	412
559	523	411
560	524	410
561	525	409
562	525	408
563	526	406
564	527	405
565	528	404
566	528	403
567	529	402
568	530	401
569	530	400
570	531	399
571	532	398
572	533	397
573	534	396
574	534	395
575	535	394
576	536	392
577	536	391
578	537	390
579	537	389
580	538	388
581	539	387
582	540	386
583	541	385
584	542	384
585	542	383
586	543	382
587	544	381
588	545	380
589	546	379
590	547	378
591	547	377
592	548	376
593	549	375
594	549	374
595	550	373
596	551	372
597	552	371
598	552	370
599	553	369
600	554	367
601	554	366
602	555	365
603	555	364
604	556	363
605	557	362
606	558	361
607	558	360
608	559	359
609	560	358
610	560	357
611	561	355
612	562	354
613	562	353
614	563	352
615	564	352
616	565	350
617	565	349
618	566	348
619	567	347
620	567	346
621	568	345
622	569	344
623	570	343
624	570	342
625	571	341
626	572	340
627	572	339
628	573	338
629	574	337
630	574	336
631	575	335
632	576	334
633	576	333
634	577	332
635	578	330
636	578	329
637	579	328
638	580	327
639	580	326
640	581	325
641	582	324
642	583	323
643	583	322
644	584	321
645	585	320
646	585	319
647	586	318
648	586	317
649	587	316
650	588	315
651	589	314
652	589	313
653	590	312
654	591	311
655	591	310
656	592	309
657	592	308
658	593	307
659	594	306
660	595	305
661	595	304
662	596	303
663	597	302
664	597	301
665	598	300
666	599	299
667	599	298
668	600	297
669	601	296
670	602	295
671	602	294
672	603	293
673	603	292
674	604	291
675	605	290
676	605	289
677	606	288
678	607	287
679	608	286
680	608	285
681	609	284
682	610	283
683	610	282
684	611	281
685	612	280
686	612	279
687	613	278
688	614	277
689	615	276
690	615	275
691	616	274
692	616	273
693	617	272
694	618	271
695	618	270
696	619	269
697	620	268
